"data_file","outer_epoch","inner_epoch","net__depth","net__width","net__activation","net__dropout","net__lr_rate","net__weight_decay","total_epochs","best_epoch","tuned_activation","tuned_dropout","tuned_lr_rate","tuned_weight_decay","classif.acc","classif.precision","classif.recall","classif.f1","classif.tn","classif.fp","classif.fn","classif.tp","guardian.rho_noco2","guardian.rlogit_noco2","guardian.rprob_noco2","guardian.rho_comp","guardian.rlogit_comp","guardian.rprob_comp","guardian.rho_pf","guardian.rlogit_pf","guardian.rprob_pf","id","model","depth","parameters","data_name","model_name","model_category","abbrev_name","abbrev_name_w_depth","name","input_features"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,48,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",1000,999,"relu",0,1e-04,1e-04,0.907610907610908,0.901852581789515,0.917769755314882,0.909741550695825,4344,498,410,4576,0.7454828045598,0.745131062392374,0.73283560362873,-0.592669154871641,-0.580221506503155,-0.650596275752602,-0.723426212590299,-0.679412944111996,-0.708995334893757,11,"torch",2,36912,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,80,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",201,160,"relu",0,1e-05,1e-04,0.967224546722455,0.958560311284047,0.976997818758675,0.967691250122754,4782,213,116,4927,0.434692881883207,0.361734720058628,0.349500799393589,-0.353123433738853,-0.295836328273389,-0.289576029534576,-0.475748194014448,-0.337055611732372,-0.327567165318796,12,"torch",3,67920,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,32,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",141,100,"sigmoid",0,1e-04,1e-04,0.963638174935246,0.947056574923547,0.982550069403133,0.964476885644769,4718,277,88,4955,0.536912823228665,0.435189790273257,0.351458484908267,-0.371708877619845,-0.304001789075855,-0.247305110842648,-0.529411764705882,-0.37901354113898,-0.307005930723534,13,"torch",3,25632,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,112,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",1000,999,"relu",0,1e-04,1e-04,0.911375661375661,0.897738256330949,0.931407942238267,0.914263214883355,4313,529,342,4644,0.739287656599469,0.726701812614235,0.680239339113822,-0.569953612350429,-0.54094812028806,-0.608456478047441,-0.70485036119711,-0.649892398554456,-0.660433793041972,14,"torch",2,86128,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,96,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",211,170,"relu",0,1e-05,0.001,0.967224546722455,0.956605966679582,0.979179060083284,0.967760901518863,4771,224,105,4938,0.443985603823703,0.361913346219538,0.350073013544477,-0.356221007719018,-0.278811430511593,-0.267906075936729,-0.475748194014448,-0.328460679452026,-0.316804621654523,15,"torch",3,83040,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,16,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",101,60,"relu",0.2,1e-04,0.001,0.962841203426977,0.948520937379946,0.979179060083284,0.963606205483462,4727,268,105,4938,0.450180751784034,0.360514914190457,0.343666244983791,-0.354155958398908,-0.257579625392806,-0.24529819072937,-0.479876160990712,-0.316907829240424,-0.301972920353993,16,"torch",3,12560,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,64,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",1000,999,"relu",0,1e-04,1e-04,0.910765160765161,0.903713892709766,0.922382671480144,0.912952853598015,4352,490,387,4599,0.737222607279359,0.708166789415959,0.664047212707883,-0.549303119149326,-0.504600010391734,-0.56430884525898,-0.686274509803922,-0.621810035524472,-0.629577165197738,17,"torch",2,49216,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,128,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",741,700,"relu",0.4,1e-04,1e-04,0.915547415547416,0.920137484836231,0.912755716004814,0.916431735803464,4447,395,435,4551,0.422302585962546,0.43739903635562,0.457272041101879,-0.616417222052909,-0.592247006919594,-0.611386965848011,-0.550051599587203,-0.527225235525467,-0.547215634051947,18,"torch",3,114816,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,96,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",501,460,"relu",0.4,1e-04,1e-04,0.914733414733415,0.922747655931512,0.907942238267148,0.915285078851597,4463,379,459,4527,0.37687150092012,0.384874289726228,0.40672169223009,-0.581311383611035,-0.567621044324198,-0.588672058322582,-0.506707946336429,-0.487636798213433,-0.509618097799104,19,"torch",3,83040,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,160,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",1000,990,"relu",0,1e-04,1e-04,0.911477411477411,0.895313100268921,0.934817488969114,0.914638932496076,4297,545,325,4661,0.700051719517374,0.722683784512923,0.671643938933305,-0.493546787506349,-0.537586366090918,-0.572443456161286,-0.64499484004128,-0.646109870622483,-0.637636197207495,20,"torch",2,123040,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
